ID,label
5799,0
6126,0
7153,0
1282,0
8183,0
7703,0
8134,0
6172,0
40,0
3121,0
4816,0
5073,0
6220,0
6805,0
6191,0
9050,0
4573,0
7305,0
1117,0
9019,0
2212,0
1504,0
4654,0
1324,0
1432,0
5661,0
4194,0
460,0
2210,0
7136,0
6820,0
5569,0
1058,0
2151,0
5068,0
1881,0
107,0
691,0
175,0
8075,0
5145,0
7039,0
830,0
204,0
1220,0
8082,0
6876,0
8282,0
1322,0
7684,0
2658,0
6828,0
8924,0
1780,0
1744,0
7234,0
8003,0
2089,0
1118,0
3297,0
862,0
1995,0
4985,0
8747,0
3289,0
2005,0
9332,0
7962,0
4136,0
305,0
1969,0
5511,0
8262,0
3488,0
4723,0
1150,0
3322,0
3215,0
7008,0
2610,0
920,0
8764,0
8611,0
8015,0
3353,0
5811,0
6424,0
7117,0
5717,0
425,0
7366,0
9046,0
6788,0
3526,0
1237,0
777,0
219,0
3746,0
5843,0
9265,0
5670,0
629,0
6015,0
678,0
47,0
7995,0
4301,0
5286,0
7678,0
2399,0
309,0
7810,0
7154,0
9341,0
6162,0
1481,0
4354,0
3399,0
8285,0
1327,0
935,0
2816,0
4127,0
7146,0
5558,0
1380,0
7751,0
2630,0
5403,0
7372,0
3183,0
6308,0
7320,0
8856,0
1674,0
8621,0
6328,0
4324,0
3547,0
8013,0
399,0
483,0
4838,0
1119,0
6789,0
84,0
8388,0
6200,0
9224,0
7124,0
5425,0
4049,0
4390,0
5987,0
904,0
7437,0
5434,0
4779,0
8214,0
6561,0
1980,0
7069,0
3472,0
2240,0
4909,0
143,0
4750,0
3943,0
9193,0
647,0
1318,0
3414,0
8343,0
1911,0
1055,0
2349,0
4905,0
6058,0
7512,0
9290,0
6056,0
1839,0
1614,0
7327,0
2153,0
9367,0
877,0
5052,0
1175,0
2636,0
586,0
5826,0
4239,0
8063,0
3448,0
3486,0
580,0
2801,0
8543,0
7116,0
8377,0
4895,0
6929,0
7097,0
2795,0
362,0
2544,0
8518,0
2154,0
2369,0
9421,0
8088,0
4181,0
8790,0
755,0
174,0
1875,0
5630,0
1970,0
5574,0
8076,0
910,0
4153,0
7958,0
5656,0
8716,0
5062,0
4104,0
5007,0
8736,0
5171,0
203,0
7438,0
1700,0
8668,0
5238,0
7416,0
2677,0
2088,0
6157,0
2518,0
2606,0
4500,0
7282,0
3223,0
5923,0
1352,0
2516,0
1709,0
1088,0
5645,0
1253,0
6993,0
3540,0
8525,0
4039,0
5484,0
4561,0
6563,0
2796,0
5442,0
7844,0
5892,0
5674,0
3966,0
2684,0
2935,0
6857,0
6009,0
8192,0
201,0
3860,0
5733,0
5667,0
2500,0
3118,0
242,0
4699,0
2918,0
1602,0
5510,0
7164,0
6692,0
510,0
3984,0
8364,0
8174,0
1573,0
1231,0
307,0
4240,0
8507,0
6100,0
223,0
8187,0
1795,0
3287,0
5364,0
1553,0
3831,0
1181,0
6861,0
2908,0
1085,0
1383,0
8211,0
1112,0
1298,0
6886,0
8495,0
3170,0
1407,0
2907,0
8442,0
8287,0
7495,0
3562,0
4357,0
8769,0
7096,0
5319,0
8460,0
1311,0
4978,0
6050,0
6179,0
5970,0
6793,0
238,0
8733,0
4322,0
8627,0
5603,0
6807,0
4798,0
8060,0
4657,0
7375,0
2367,0
2446,0
6404,0
7363,0
3944,0
5580,0
4856,1
2881,1
1884,1
6683,1
7528,1
2822,1
5684,1
1493,1
196,1
5081,1
5560,1
4314,1
926,1
2272,1
555,1
7141,1
9149,1
9408,1
1445,1
3024,1
6240,1
628,1
4511,1
113,1
2179,1
4962,1
5766,1
3305,1
345,1
3181,1
8281,1
2718,1
8271,1
7960,1
7507,1
1373,1
6704,1
5030,1
535,1
3359,1
3605,1
8143,1
5894,1
7432,1
2746,1
3490,1
2441,1
1608,1
6331,1
2489,1
5260,1
452,1
1585,1
8949,1
826,1
2982,1
909,1
3030,1
4023,1
6429,1
5556,1
4124,1
3809,1
5889,1
6721,1
6106,1
3750,1
291,1
8821,1
8347,1
6365,1
6818,1
8708,1
6067,1
513,1
6526,1
4513,1
3580,1
1262,1
5745,1
8066,1
6986,1
3467,1
2193,1
8344,1
1518,1
299,1
4598,1
4197,1
2001,1
4270,1
812,1
3700,1
2483,1
5313,1
5637,1
8516,1
8031,1
5736,1
3051,1
2250,1
2145,1
6940,1
290,1
5381,1
3952,1
9338,1
8259,1
2896,1
2113,1
1513,1
5499,1
3732,1
5466,1
3767,1
